qp_nn,qp_virtual,n
0.026472,0.02656,20
0.025232,0.02532,21
0.024104,0.024192,22
0.023096,0.023168,23
0.022152,0.022216,24
0.021296,0.021344,25
0.02048,0.020544,26
0.019752,0.019792,27
0.019056,0.019096,28
0.018432,0.018448,29
0.017824,0.017848,30
0.017264,0.01728,31
0.016736,0.016744,32
0.01624,0.016248,33
0.015784,0.015776,34
0.015336,0.015328,35
0.014936,0.014912,36
0.014536,0.014512,37
0.01416,0.014136,38
0.013792,0.013776,39
0.013472,0.013432,40
0.013152,0.013112,41
0.012848,0.0128,42
0.012568,0.012512,43
0.01228,0.012224,44
0.012,0.01196,45
0.01172,0.011704,46
0.01148,0.011456,47
0.011272,0.011216,48
0.011056,0.010992,49
0.01084,0.010776,50
0.01064,0.010568,51
0.010424,0.01036,52
0.010224,0.010168,53
0.010024,0.009984,54
0.009832,0.0098,55
0.009656,0.009632,56
0.009504,0.009464,57
0.00936,0.009296,58
0.009208,0.009144,59
0.009056,0.008992,60
0.008896,0.008848,61
0.008744,0.008704,62
0.008624,0.008568,63
0.008488,0.008432,64
0.008368,0.008304,65
0.008248,0.008176,66
0.008128,0.008056,67
0.008024,0.007944,68
0.007912,0.007824,69
0.007808,0.007712,70
0.007696,0.007608,71
0.007592,0.007504,72
0.007496,0.0074,73
0.007408,0.007304,74
0.00732,0.0072,75
0.00724,0.007112,76
0.00716,0.007016,77
0.00708,0.006928,78
0.007008,0.00684,79
0.006944,0.006752,80
0.006872,0.006672,81
0.006808,0.006592,82
0.006736,0.006512,83
0.006664,0.006432,84
0.006584,0.00636,85
0.006504,0.006288,86
0.00644,0.006216,87
0.006344,0.006144,88
0.006248,0.006072,89
0.006144,0.006008,90
0.00604,0.005944,91
0.005968,0.00588,92
0.005904,0.005816,93
0.005856,0.005752,94
0.005816,0.005696,95
0.00576,0.005632,96
0.005712,0.005576,97
0.005664,0.00552,98
0.005616,0.005464,99
0.005568,0.005408,100
0.00552,0.005352,101
0.005472,0.005304,102
0.005432,0.005256,103
0.005384,0.0052,104
0.005336,0.005152,105
0.005288,0.005104,106
0.005232,0.005056,107
0.005184,0.005008,108
0.005136,0.004968,109
0.00508,0.00492,110
0.005032,0.004872,111
0.004976,0.004832,112
0.004928,0.004792,113
0.00488,0.004744,114
0.004832,0.004704,115
0.004792,0.004664,116
0.004752,0.004624,117
0.004712,0.004584,118
0.00468,0.004552,119
0.004648,0.004512,120
0.004616,0.004472,121
0.004584,0.00444,122
0.004544,0.0044,123
0.004512,0.004368,124
0.004472,0.004328,125
0.004432,0.004296,126
0.0044,0.004264,127
0.004368,0.004232,128
0.004328,0.0042,129
0.004296,0.00416,130
0.004264,0.004136,131
0.004224,0.004104,132
0.004192,0.004072,133
0.00416,0.00404,134
0.004128,0.004008,135
0.004096,0.003984,136
0.004072,0.003952,137
0.004048,0.00392,138
0.004024,0.003896,139
0.004,0.003864,140
0.003976,0.00384,141
0.003944,0.003816,142
0.00392,0.003784,143
0.003888,0.00376,144
0.003864,0.003736,145
0.003832,0.003712,146
0.003808,0.00368,147
0.003776,0.003656,148
0.003752,0.003632,149
0.00372,0.003608,150
0.003696,0.003584,151
0.003672,0.00356,152
0.00364,0.003536,153
0.003616,0.003512,154
0.003592,0.003496,155
0.003568,0.003472,156
0.003552,0.003448,157
0.003528,0.003424,158
0.003504,0.003408,159
0.003488,0.003384,160
0.003472,0.00336,161
0.003448,0.003344,162
0.003432,0.00332,163
0.003416,0.003304,164
0.0034,0.00328,165
0.003376,0.003264,166
0.00336,0.00324,167
0.003336,0.003224,168
0.00332,0.003208,169
0.003296,0.003184,170
0.00328,0.003168,171
0.003256,0.003152,172
0.00324,0.003128,173
0.003216,0.003112,174
0.0032,0.003096,175
0.003184,0.00308,176
0.00316,0.003056,177
0.003144,0.00304,178
0.00312,0.003024,179
0.003104,0.003008,180
0.003088,0.002992,181
0.003072,0.002976,182
0.003056,0.00296,183
0.00304,0.002944,184
0.003024,0.002928,185
0.003008,0.002912,186
0.002992,0.002896,187
0.002976,0.00288,188
0.002968,0.002864,189
0.002952,0.002848,190
0.002936,0.002832,191
0.002928,0.002824,192
0.002912,0.002808,193
0.002896,0.002792,194
0.00288,0.002776,195
0.002864,0.00276,196
0.002856,0.002752,197
0.00284,0.002736,198
0.002824,0.00272,199
0.002808,0.002704,200
0.0028,0.002696,201
0.002784,0.00268,202
0.002768,0.002664,203
0.002752,0.002656,204
0.002744,0.00264,205
0.002728,0.002632,206
0.002712,0.002616,207
0.002696,0.0026,208
0.002688,0.002592,209
0.002672,0.002576,210
0.002656,0.002568,211
0.002648,0.002552,212
0.002632,0.002544,213
0.002616,0.002528,214
0.002608,0.00252,215
0.002592,0.002504,216
0.002576,0.002496,217
0.002568,0.00248,218
0.002552,0.002472,219
0.002536,0.002464,220
0.002528,0.002448,221
0.002512,0.00244,222
0.002496,0.002424,223
0.002488,0.002416,224
0.002472,0.002408,225
0.002464,0.002392,226
0.002448,0.002384,227
0.002432,0.002376,228
0.002424,0.002368,229
0.002408,0.002352,230
0.0024,0.002344,231
0.002392,0.002336,232
0.002376,0.00232,233
0.002368,0.002312,234
0.00236,0.002304,235
0.002352,0.002296,236
0.002336,0.002288,237
0.002328,0.002272,238
0.00232,0.002264,239
0.002312,0.002256,240
0.002304,0.002248,241
0.002296,0.00224,242
0.002296,0.002224,243
0.002288,0.002216,244
0.00228,0.002208,245
0.002272,0.0022,246
0.002264,0.002192,247
0.002256,0.002184,248
0.002248,0.002176,249
0.002248,0.002168,250
0.00224,0.00216,251
0.002232,0.002152,252
0.002224,0.002136,253
0.002216,0.002128,254
0.002208,0.00212,255
0.002208,0.002112,256
0.0022,0.002104,257
0.002192,0.002096,258
0.002184,0.002088,259
0.002184,0.00208,260
0.002176,0.002072,261
0.002168,0.002064,262
0.00216,0.002056,263
0.00216,0.002048,264
0.002152,0.00204,265
0.002144,0.002032,266
0.002136,0.002024,267
0.002136,0.002016,268
0.002128,0.002016,269
0.00212,0.002008,270
0.00212,0.002,271
0.002112,0.001992,272
0.002112,0.001984,273
0.002104,0.001976,274
0.002096,0.001968,275
0.002096,0.00196,276
0.002088,0.001952,277
0.002088,0.001944,278
0.00208,0.001936,279
0.00208,0.001936,280
0.002072,0.001928,281
0.002072,0.00192,282
0.002064,0.001912,283
0.002064,0.001904,284
0.002056,0.001896,285
0.002056,0.001896,286
0.002048,0.001888,287
0.002048,0.00188,288
0.00204,0.001872,289
0.00204,0.001864,290
0.002032,0.001856,291
0.002032,0.001856,292
0.002024,0.001848,293
0.002024,0.00184,294
0.002016,0.001832,295
0.002016,0.001832,296
0.002016,0.001824,297
0.002008,0.001816,298
0.002008,0.001808,299
0.002,0.0018,300
0.002,0.0018,301
0.001992,0.001792,302
0.001992,0.001784,303
0.001992,0.001776,304
0.001984,0.001776,305
0.001984,0.001768,306
0.001976,0.00176,307
0.001976,0.00176,308
0.001968,0.001752,309
0.001968,0.001744,310
0.001968,0.001736,311
0.00196,0.001736,312
0.00196,0.001728,313
0.001952,0.00172,314
0.001952,0.00172,315
0.001952,0.001712,316
0.001944,0.001704,317
0.001944,0.001704,318
0.001936,0.001696,319
0.001936,0.001688,320
0.001936,0.001688,321
0.001928,0.00168,322
0.001928,0.001672,323
0.001928,0.001672,324
0.00192,0.001664,325
0.00192,0.001656,326
0.00192,0.001656,327
0.001912,0.001648,328
0.001912,0.001648,329
0.001912,0.00164,330
0.001904,0.001632,331
0.001904,0.001632,332
0.001904,0.001624,333
0.001896,0.001616,334
0.001896,0.001616,335
0.001896,0.001608,336
0.001888,0.001608,337
0.001888,0.0016,338
0.001888,0.001592,339
0.00188,0.001592,340
0.00188,0.001584,341
0.00188,0.001584,342
0.001872,0.001576,343
0.001872,0.001576,344
